gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Is_Outlier_LOF
Male,31,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,27,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,Unknown,Daily,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Female,24,Yes,3,6,4,2,5,1,18.0936777,Yes,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Unknown,28,Yes,4,3,5,7,2,12.98575403,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,nan_err,10%-20%,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Unknown,Fixed Returns,Financial Consultants,FALSE
Male,34,Yes,2,3,7,5.8,4,1,5,Yes,Risk,Growth,Savings for Future,Less than 1 year,Unknown,10%-20%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,fixed returns_err,Television,FALSE
Male,31,Yes,2,4,33.77904611,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,30%-40%,Fixed Deposits,Health Care,Unknown,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,30,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Monthly,30%-40%,Fixed Deposits,Health Care,Dividend,Unknown,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,30,Yes,2,3,7,6,4,1,5,yes_err,Risk,Growth,Savings for Future,Unknown,Monthly,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Female,26,yes_err,2,3,7,69.93907057,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,24,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,Unknown,Weekly,10%-20%,equity_err,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Unknown,20,Yes,2,1,3,7,6,4,5,Yes,Returns,Income,Wealth Creation,More than 5 years,Weekly,30%-40%,Equity,Unknown,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,FALSE
Male,29,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
female_err,23,Yes,2,3,7,5,4,12.98575403,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,28,yes_err,3,6,4,2,5,1,7,Unknown,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Male,23,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,1-3 years,Weekly,30%-40%,Unknown,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,29,Yes,2,3,7,6,4,1,5,Yes,risk_err,Growth,Savings for Future,More than 5 years,Weekly,20%-30%,Fixed Deposits,Unknown,Capital Appreciation,Fund Diversification,Safe Investment,fixed returns_err,Television,FALSE
Female,24,No,2,1,3,6,4,5,7,No,Unknown,Income,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Male,31,Yes,3,6,33.77904611,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Male,28,Yes,4,5,1,2,7,12.98575403,6,No,Returns,Growth,wealth creation_err,Unknown,Monthly,30%-40%,Public Provident Fund,Education,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television,FALSE
Male,28,Yes,3,4,6,5,9.985346145,2,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Unknown,Risk Free,Newspapers and Magazines,FALSE
Male,32,Yes,3,2,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,37,Yes,2,4,7,5,3,1,6,Yes,Unknown,Growth,Savings for Future,More than 5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,27,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Unknown,More than 5 years,Daily,20%-30%,Unknown,Retirement Plan,dividend_err,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,38.91517435,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,monthly_err,Unknown,Mutual Fund,Retirement Plan,Unknown,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Male,26,Unknown,3,46.38680213,6,5,2,1,7,Unknown,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,28,Yes,3,46.38680213,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Male,26,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,financial consultants_err,FALSE
Female,28,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,Unknown,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Male,25,Yes,2,46.38680213,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,Less than 1 year,Daily,10%-20%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,31,Yes,3,46.38680213,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Unknown,Risk Free,Newspapers and Magazines,FALSE
Male,34,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,Unknown,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Unknown,Fixed Returns,Television,FALSE
Male,26,Yes,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Equity,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Unknown,financial consultants_err,FALSE
Female,27,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Unknown,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29,Yes,2,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,26,Yes,3,2,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,28,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,Less than 1 year,Monthly,10%-20%,Fixed Deposits,Health Care,Dividend,Unknown,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,23,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Equity,Unknown,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Unknown,27.6,Yes,2,3,12.35580922,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,25,Yes,3,4,6,5,1,2,7,Unknown,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Unknown,Retirement Plan,Unknown,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,30,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,32,Yes,1,3,7,4,5,2,6,Yes,Unknown,Capital Appreciation,Wealth Creation,3-5 years,Daily,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Unknown,FALSE
Male,22.2,Yes,2,1,3,7,6,4,5,Yes,returns_err,Income,Wealth Creation,1-3 years,Monthly,Unknown,Public Provident Fund,Retirement Plan,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet,FALSE
Male,29.8,Yes,3,46.38680213,7,4,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,32,yes_err,2,3,7,6,4,1,5,yes_err,Risk,Growth,Savings for Future,3-5 years,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,26,Yes,38.91517435,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,Less than 1 year,Daily,30%-40%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Unknown,FALSE
Female,31,Yes,2,3,7,4,5,1,6,yes_err,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Unknown,Risk Free,Newspapers and Magazines,FALSE
Male,28,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,assured returns_err,Unknown,Newspapers and Magazines,FALSE
Male,30,Yes,1,3,7,4,5,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,monthly_err,20%-30%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,31,Yes,3,2,7,17.38781411,5,1,6,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,33.4,yes_err,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,More than 5 years,weekly_err,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Female,21,Unknown,2,4,5,18.58781411,3,1,7,Yes,Risk,Capital Appreciation,Unknown,Less than 1 year,Weekly,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,29,yes_err,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Male,28,Yes,2,4,7,5,1,3,6,Unknown,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,30,Yes,3,2,7,4,45.92673072,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,37,Yes,38.91517435,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,1-3 years,Daily,20%-30%,Unknown,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Unknown,FALSE
Female,24,Yes,4,3,33.77904611,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,30%-40%,Equity,Health Care,Dividend,Better Returns,Safe Investment,Unknown,Financial Consultants,FALSE
Male,30,Yes,2,5,7,6,3,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Weekly,Unknown,Unknown,retirement plan_err,Unknown,Fund Diversification,Assured Returns,fixed returns_err,Unknown,FALSE
Female,21,No,7,5,4,69.93907057,3,1,2,No,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Unknown,20%-30%,mutual fund_err,Retirement Plan,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet,FALSE
Male,27,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Monthly,30%-40%,Unknown,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,29.2,Yes,16.76606974,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Unknown,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,FALSE
Female,32,Yes,5,4,3,2,7,1,6,Yes,Returns,Income,Returns,1-3 years,Unknown,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Female,25,Yes,4,3,2,1,5,6,7,No,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,10%-20%,Public Provident Fund,Health Care,Dividend,Better Returns,Unknown,High Interest Rates,Financial Consultants,FALSE
Male,35,Yes,2,4,33.77904611,5,3,1,6,Yes,Returns,Growth,Savings for Future,3-5 years,Weekly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Unknown,Fixed Returns,Television,FALSE
Unknown,20,Yes,4,3,2,1,5,6,7,No,Locking Period,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Fixed Deposits,Health Care,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants,FALSE
Male,29,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Unknown,Unknown,Public Provident Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television,FALSE
Male,30,Yes,2,4,7,5,1,3,6,Unknown,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Mutual Fund,Health Care,Unknown,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,29,Yes,1,3,7,4,5,2,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Unknown,30%-40%,Fixed Deposits,Retirement Plan,Unknown,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Unknown,29,yes_err,2,3,33.77904611,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,Less than 1 year,Monthly,10%-20%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,18,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,27.6,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,risk free_err,Newspapers and Magazines,FALSE
Male,29,Yes,38.91517435,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,20%-30%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,22,No,7,5,4,6,3,1,2,No,Risk,Unknown,Wealth Creation,3-5 years,Monthly,30%-40%,Unknown,Retirement Plan,Unknown,Unknown,Safe Investment,Risk Free,Internet,FALSE
Male,29,yes_err,4,3,5,7,2,1,6,Yes,Returns,Unknown,Wealth Creation,Less than 1 year,Daily,10%-20%,Unknown,Retirement Plan,Dividend,Better Returns,safe investment_err,Fixed Returns,Unknown,FALSE
Male,23,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Equity,Retirement Plan,Dividend,Fund Diversification,Assured Returns,fixed returns_err,Unknown,FALSE
Female,34.2,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Male,25,Yes,2,4,12.35580922,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,32,Yes,38.91517435,4,7,5.8,3,1,5,Unknown,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Female,25.8,No,2,1,3,6,4,12.98575403,7,No,Returns,Income,Wealth Creation,More than 5 years,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Unknown,Internet,FALSE
Female,27,Unknown,3,2,7,5,4,1,6,Yes,Risk,Growth,Wealth Creation,3-5 years,Weekly,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television,FALSE
Male,23,yes_err,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,Unknown,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,24,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,nan_err,Daily,10%-20%,Equity,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Male,38,Yes,2,4,7,5,3,1,6,Yes,returns_err,Growth,Savings for Future,1-3 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,30,Yes,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,30,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Unknown,Unknown,public provident fund_err,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,30,Yes,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Unknown,Financial Consultants,FALSE
Female,26.8,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Health Care,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,29,Yes,3,4,6,5,1,2,7,Unknown,Unknown,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,29,Yes,3,6,4,2,5,1,7,Yes,Unknown,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Male,23,Yes,2,4,6,5,11.38534614,1,7,Yes,Unknown,Growth,Savings for Future,Less than 1 year,Daily,20%-30%,Equity,Health Care,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,25,Yes,2,3,6,4,1,5,7,Yes,Returns,Capital Appreciation,Returns,1-3 years,Monthly,20%-30%,Fixed Deposits,Education,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines,FALSE
Female,21,Yes,2,4,33.77904611,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Mutual Fund,Unknown,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,32,Yes,2,4,7,5,3,1,17.4936777,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Unknown,Risk Free,Financial Consultants,FALSE
Male,20,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Mutual Fund,Retirement Plan,capital appreciation_err,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Unknown,30,Yes,2,4,7,5,3,1,6,Yes,Unknown,Unknown,Wealth Creation,1-3 years,Monthly,10%-20%,Fixed Deposits,Health Care,dividend_err,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,27,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,5,4,7,6,1,2,3,Yes,Risk,Growth,Savings for Future,3-5 years,Daily,30%-40%,Equity,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,23,yes_err,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Unknown,Daily,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Unknown,Newspapers and Magazines,FALSE
Male,29,Yes,2,4,7,5,1,12.98575403,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,20%-30%,Unknown,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,23,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Weekly,10%-20%,Equity,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,29,Yes,2,3,7,6,4,1,5,Yes,Risk,Growth,Unknown,Less than 1 year,Monthly,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Television,FALSE
Male,28,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,20%-30%,Mutual Fund,Retirement Plan,Dividend,Better Returns,Safe Investment,Unknown,Financial Consultants,FALSE
Male,29,Yes,2,3,6,69.93907057,1,4.4,7,Yes,Returns,Capital Appreciation,Returns,3-5 years,weekly_err,30%-40%,Public Provident Fund,Education,Dividend,Better Returns,Unknown,Risk Free,Newspapers and Magazines,FALSE
Female,33,Yes,2,4,7,6,3,1,5,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Fixed Returns,Unknown,FALSE
Female,27,Unknown,2,46.38680213,7,5,4,1,6,Yes,Unknown,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,20%-30%,Public Provident Fund,Health Care,dividend_err,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,27,Yes,3,2,7,5,4,1,6,Unknown,Risk,Growth,Wealth Creation,3-5 years,Weekly,30%-40%,Mutual Fund,Health Care,Unknown,Fund Diversification,Assured Returns,Risk Free,Unknown,FALSE
Male,24,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Unknown,10%-20%,Equity,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,30,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,30%-40%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
male_err,27,Unknown,2,46.38680213,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,Monthly,10%-20%,Equity,Retirement Plan,Unknown,Better Returns,Assured Returns,Risk Free,Television,FALSE
Unknown,37,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Savings for Future,Less than 1 year,Monthly,20%-30%,Unknown,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,26,Yes,2,4,7,5,1,3,6,Yes,Returns,Unknown,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Health Care,Capital Appreciation,Fund Diversification,assured returns_err,Fixed Returns,Newspapers and Magazines,FALSE
Male,27,Yes,2,3,6,5,1,4,7,Yes,Returns,capital appreciation_err,Wealth Creation,1-3 years,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Risk Free,Television,FALSE
Female,19,No,1,2,3,69.93907057,5,6,7,No,Returns,Capital Appreciation,Savings for Future,More than 5 years,Monthly,30%-40%,Mutual Fund,Education,Dividend,Better Returns,Safe Investment,Unknown,Internet,FALSE
Male,27,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,1-3 years,Daily,10%-20%,Fixed Deposits,Retirement Plan,Unknown,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
